,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,Duration
137,NA,OA4A,NA,NA,5.1K,NA,137
138,NA,NA,NA,NA,5.1K,NA,138
139,NA,B.oR,NA,NA,NA,NA,139
140,NA,NA,1,NA,5.1K,NA,140
141,NA,BOR,NA,NA,5.1K,NA,141
142,NA,NA,1,NA,5.1K,NA,142
143,NA,bon,1,NA,5.7K,NA,143
144,NA,NA,1,NA,58K,NA,144
145,NA,BOR,NA,NA,5.8K,NA,145
146,NA,NA,NA,NA,NA,NA,146
147,NA,b.GA*,NA,NA,NA,NA,147
148,NA,B.OR,1,NA,NA,NA,148
149,NA,NA,1,NA,NA,NA,149
150,NA,NA,1,NA,NA,NA,150
151,NA,Bo.GR,NA,NA,NA,NA,151
152,NA,NA,1,NA,5.9K,NA,152
153,NA,NA,1,NA,NA,NA,153
154,NA,NA,1,NA,5.9K,NA,154
155,NA,NA,1,NA,NA,NA,155
156,NA,NA,1,NA,NA,NA,156
157,NA,NA,NA,NA,NA,NA,157
158,NA,NA,NA,NA,NA,NA,158
159,NA,NA,NA,NA,NA,NA,159
160,NA,NA,1,NA,NA,NA,160
161,NA,NA,1,NA,NA,NA,161
162,NA,NA,1,NA,6.2K,NA,162
163,NA,B.SA,NA,NA,NA,NA,163
164,NA,NA,NA,NA,NA,NA,164
165,NA,NA,1,NA,6.3K,NA,165
166,NA,NA,1,NA,6.3K,NA,166
167,NA,NA,1,NA,NA,NA,167
168,7,NA,1,NA,NA,NA,168
169,NA,NA,NA,NA,NA,NA,169
170,NA,NA,1,NA,NA,NA,170
171,NA,NA,1,NA,NA,NA,171
172,NA,NA,NA,NA,NA,NA,172
173,NA,NA,NA,NA,6.5K,NA,173
174,NA,NA,NA,NA,NA,.,174
175,NA,NA,NA,NA,NA,NA,175
176,NA,PALS,1,NA,NA,NA,176
177,NA,NA,1,NA,NA,NA,177
178,NA,NA,NA,NA,NA,NA,178
179,NA,NA,NA,NA,NA,NA,179
180,NA,NA,1,NA,NA,NA,180
181,7,wan,NA,NA,5.7K,NA,181
182,NA,an,NA,NA,6.7K,NA,182
183,7,tah,1,NA,5.7K,NA,183
184,NA,tah,1,NA,6.1K,NA,184
185,NA,TAR,1,NA,NA,NA,185
186,NA,TAR,1,NA,6.1K,NA,186
187,NA,TAR,NA,NA,6.1K,NA,187
188,NA,3h,NA,NA,6.1K,NA,188
189,NA,NA,NA,NA,NA,NA,189
190,NA,NA,NA,NA,NA,NA,190
191,NA,NA,NA,NA,NA,NA,191
192,NA,NA,NA,NA,NA,NA,192
193,NA,NA,NA,NA,NA,NA,193
194,NA,NA,NA,NA,NA,NA,194
195,NA,NA,NA,NA,NA,NA,195
196,NA,wak,1,NA,NA,NA,196
197,NA,NA,NA,NA,7.0K,NA,197
198,NA,ak,1,NA,NA,NA,198
199,NA,wah,1,NA,NA,NA,199
200,NA,NA,NA,NA,7.0K,NA,200
201,NA,NA,1,NA,7.0K,NA,201
202,NA,NA,1,NA,7.0K,NA,202
203,NA,NA,NA,NA,7.0K,NA,203
204,NA,NA,NA,NA,NA,NA,204
205,NA,NA,NA,NA,1K,NA,205
206,NA,NA,1,NA,NA,NA,206
207,NA,aan,NA,NA,NA,NA,207
208,NA,pA,1,NA,NA,NA,208
209,NA,pA 4,NA,NA,NA,NA,209
210,NA,3h,1,NA,NA,NA,210
211,NA,NA,1,NA,NA,NA,211
212,NA,NA,NA,NA,1.2K,NA,212
