input_text,number
['러너교 (RUNNER0608)'],0.0
['SKYLINETVLIVE'],675.0
['PARISPLATYNOV'],1023.0
['MONSOONGG'],50.0
['KYLE'],1006.0
['RAVSHANN'],632.0
['STARYUUKI'],2742.0
['SNOODYBOO'],400.0
['CHARMQUELL'],223.0
['嬌兔 (ZRUSH)'],0.0
['YASSUO'],1345.0
['김남봉 (KIMNAMSOON)'],0.0
['SKYKTOWALKER'],163.0
['SYLVEEY'],199.0
['SNEAKYLOL'],1441.0
['SILVERVALE'],969.0
['JOJOHF'],936.0
['TPK_LIVE'],583.0
['CANBIZZ_'],67.0
['GALOUTOF'],5.0
['BEBE872'],434.0
['FLIGHT23WHITE'],1723.0
['SAKEN_LOL'],276.0
['BRANCARP_'],49.0
['DARKSHIRAH'],34.0
['SHIVFPS'],987.0
['CHOPPERZ14'],333.0
['PAIVINHA29'],947.0
['SKIPPYPOPPIN'],192.0
['EL_YUSTE'],458.0
['餐餐自由配 (BLUSEWILLY_RETRY)'],0.0
['TESHRAK'],92.0
['TRAUSI'],265.0
['BREAK'],247.0
['DANERGYLIVE'],170.0
['NICKEH30'],3163.0
['KNOQD'],187.0
['PLAQUEBOYMAX'],1042.0
['SCHRODINGERLEE'],752.0
['TAYLOR_JEVAUX'],861.0
['TWITCHSPORTS'],1905.0
['KENNZY'],513.0
['SGARES'],261.0
['김뚜띠_ (KIMDDUDDI)'],0.0
['PUNZ'],1169.0
['LORDBALVIN'],68.0
['CLAREMEANS'],665.0
['SPACESTATION'],130.0
['GRONKHTV'],244.0
['MISSGERMANY'],799.0
['NAOWH'],692.0
['SCREAM'],1082.0
['FREIRAUMREH'],376.0
['옥냥이 (ROOFTOPCAT99)'],0.0
['ALPHACAST'],512.0
['AIMSEY'],601.0
['SAMULX_'],383.0
['MYM_ALKAPONE'],1161.0
['COSCU'],2323.0
['MARVEL'],86.0
['EBONIVON'],1015.0
['NISQYY'],374.0
['JOLAVANILLE'],1392.0
['KAORI123'],147.0
['TEEGRIZZLEY'],1313.0
['YBICANOOOOBOV'],322.0
['TOLKINLOL'],590.0
['VARGSKELETHOR'],536.0
['SOYEVADEMETAL'],82.0
['CHUTYVKS'],167.0
['MINIMINTER'],1204.0
['DAKILLZOR'],304.0
['PELEGRINO1993'],639.0
['HTALKS'],388.0
['ITROLLEDU'],354.0
['RAFAELAGRO'],1.0
['SPACEMANLIVE'],203.0
['ARIASAKI'],861.0
['SCARRA'],1005.0
['THEOWLCLUB'],15.0
['YAYAHUZ'],798.0
['RELAXING234'],0.0
['NATS'],962.0
['VALLEAGUE_FR'],136.0
['VERHULST'],448.0
['FIRSTTEAM101'],119.0
['K1NG'],1395.0
['BELLUM'],98.0
['K4T4N4'],2101.0
['DMITRY_BALE'],369.0
['RDULIVE'],686.0
['PORSCHE'],155.0
['BTSSMASH3'],140.0
['CODOMA'],17.0
['BAGHERAJONES'],312.0
['NL_KRIPP'],1166.0
['ATRIOC'],846.0
['PRESTIVENT'],238.0
['BABURANIS'],17.0
['DRAKEOFFC'],443.0
['DEANSOCOOL'],442.0
['TEA_PACMAN'],74.0
['WILLFOX'],17.0
['ROGUE'],875.0
['CERBERO_PODCAST'],304.0
['WAKZLOL'],159.0
['MITCHJONES'],842.0
['PMLEEK'],30.0
['PINQTOST'],177.0
['이춘향 (LEECHUNHYANG)'],0.0
['TARZANED'],269.0
