input_text,number
['LOLTYLER1'],5423.0
['IITZTIMMY'],2813.0
['DARIOMOCCIATWITCH'],1641.0
['QTCINDERELLA'],1178.0
['MAZZAROPI_1'],317.0
['ELDED'],3644.0
['DERKELLERYT'],168.0
['XXXTHEFOCUSXXX'],1484.0
['MOONMOON'],2273.0
['NIKOLARN'],4372.0
['JOUEUR_DU_GRENIER'],1983.0
['CELLBIT'],3587.0
['CAPCOMFIGHTERS'],1371.0
['ATADOGANN'],488.0
['THEREALKNOSSI'],2446.0
['EVELONE2004'],273.0
['WANKILSTUDIO'],1713.0
['XROHAT'],525.0
['LVNDMARK'],2146.0
['BADBOYHALO'],1447.0
['AMAZONMUSIC'],393.0
['CARRERAAA'],3564.0
['BARCELONASCOFICIAL'],9.0
['FANUM'],2546.0
['ROCKETLEAGUEAPAC'],314.0
['릴파_ (LILPAAAAAA)'],0.0
['SELLY55'],605.0
['8CHO'],1348.0
['YODA'],2766.0
['PARAGON_ENG'],513.0
['JCORKO_'],1277.0
['KORESHZY'],1655.0
['NIKLASWILSON'],341.0
['SOLARY'],627.0
['FLATS'],846.0
['K3SOJU'],2503.0
['EASTGEEKSMASH'],285.0
['고세구___ (GOSEGUGOSEGU)'],0.0
['DANTES'],980.0
['DIARIOMARCA'],343.0
['THEBAUSFFS'],2492.0
['PIETSMIET'],581.0
['SHROUD'],7871.0
['BRAWLHALLA'],1424.0
['CHALLENGERSLEAGUE'],707.0
['FARBIZZBAT9'],249.0
['WARCRAFT'],1822.0
['ALVAROOLAZABAL'],1.0
['DJGRZS'],13.0
['TIXINHADOIS'],415.0
['ROCKETLEAGUEMENA'],298.0
['EWROON'],3024.0
['양띵 (YD0821)'],0.0
['비챤_ (VIICHAN6)'],0.0
['AGUSTINUNAPLAY8'],779.0
['ZLOYN'],1208.0
['SHYLILY'],1381.0
['CAEDREL'],1426.0
['소람잉 (SORAMMMM)'],0.0
['얍얍 (YAPYAP30)'],0.0
['DRKZUP'],672.0
['REBIRTHZTV'],2657.0
['KUBAFPS'],648.0
['랄로 (ABA4647)'],0.0
['TWITCHRIVALS'],3818.0
['악어 (JDM2088)'],0.0
['NIGHTBLUE3'],2031.0
['はんじょう (HANJOUDESU)'],0.0
['승우아빠_ (SWAB85)'],0.0
['KINGGEORGE'],1121.0
['BETBOOM_RU5'],97.0
['PROD'],396.0
['아야츠노_유니 (AYATSUNOYUNI_STELLIVE)'],0.0
['AGRAELUS'],1215.0
['SAMUELETIENNE'],737.0
['VALORANT_NORTHAMERICA'],360.0
['JESUSAVGN'],3309.0
['POKELAWLS'],1644.0
['ETOILES'],1158.0
['YOUNGMULTI'],2097.0
['AGENT00'],1815.0
['VGBOOTCAMP'],325.0
['TEAMREDLINE'],300.0
['괴물쥐123 (TMXK319)'],0.0
['주르르 (COTTON__123)'],0.0
['ZUBAREFFF'],1153.0
['MAXIMILIAN_DOOD'],1717.0
['SHAUNZ'],396.0
['STROGO1337'],392.0
['MONSTERHUNTER'],201.0
['ALDO_GEO'],1759.0
['ESPORTS_RAGE'],1167.0
['MAXIMUM'],911.0
