ranking_popularity,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Esport_channel
349.0,WATCHMEFOREVER,68699160.0,17760.0,16599.0,3868.0,190017.0,189966.0,False,False,English,
350.0,SHAHZAM,35474445.0,11325.0,16592.0,3132.0,1648377.0,4135.0,True,False,English,
351.0,TUBBO,35838870.0,7890.0,16591.0,4542.0,4988225.0,5013.0,True,False,English,
352.0,GAMERGIRL,5628045.0,3315.0,16578.0,1697.0,332908.0,1438.0,True,False,English,
353.0,CHOWH1,59913900.0,10335.0,16572.0,5797.0,720417.0,7524.0,True,True,French,
354.0,SNOPEY_,18355035.0,5550.0,16539.0,3307.0,252592.0,70741.0,False,False,Portuguese,
355.0,VYSOTZKY,64046970.0,6915.0,16490.0,9262.0,340994.0,6834.0,True,False,Polish,
356.0,STROGO,1964580.0,150.0,16488.0,13097.0,1046255.0,1207.0,True,False,Russian,
357.0,ARTHARS,62060070.0,19020.0,16479.0,3262.0,108529.0,9250.0,True,False,English,
358.0,GENSYXA,6465570.0,2640.0,16471.0,2449.0,980759.0,7065.0,True,True,Russian,
359.0,SHOTZZY,21942180.0,4275.0,16423.0,5132.0,256070.0,11667.0,True,False,English,
360.0,DYRUS,4454085.0,3300.0,16422.0,1349.0,1441437.0,-745.0,True,True,English,
361.0,M0NESYOF,9825150.0,1080.0,16403.0,9097.0,662339.0,30679.0,True,False,English,
362.0,AXOZER,26987445.0,10950.0,16401.0,2464.0,2724053.0,60765.0,True,False,Spanish,
363.0,HONEYPUU,66883005.0,10275.0,16387.0,6509.0,643377.0,65154.0,True,False,German,
364.0,DIZZYKITTEN,13355415.0,7155.0,16385.0,1866.0,689875.0,501.0,True,False,English,
365.0,INFINITEMYSTERY,4164510.0,2025.0,16363.0,2056.0,6251.0,-1.0,False,False,English,
366.0,징버거 (JINGBURGER),33200745.0,4365.0,16313.0,7606.0,225870.0,7220.0,True,False,Korean,
367.0,PERXITAA,25074375.0,10590.0,16266.0,2367.0,2373880.0,37260.0,True,False,Spanish,
368.0,JEANMASSIET,16729950.0,3945.0,16238.0,4240.0,193703.0,4827.0,True,False,French,
369.0,KARMA,5330595.0,8280.0,16229.0,643.0,441560.0,3909.0,True,True,English,
370.0,ZENTREYA,26979480.0,7440.0,16226.0,3626.0,388950.0,3715.0,True,False,English,
371.0,RAINBOW6BRAVO,11289840.0,1440.0,16158.0,7840.0,238639.0,7069.0,True,True,English,
372.0,MLODZIUTKI7,29033250.0,4140.0,16142.0,7012.0,140106.0,8315.0,True,False,Polish,
373.0,SIDNEYEWEKA,50670435.0,9675.0,16135.0,5237.0,804977.0,27378.0,True,False,German,
374.0,TVANDER,20395290.0,5955.0,16125.0,3424.0,543263.0,1936.0,True,False,Spanish,
375.0,NOCTAQ,3348840.0,1725.0,16092.0,1941.0,206377.0,1783.0,False,False,English,
376.0,ESB_DOTA2,13229025.0,10350.0,16089.0,1278.0,35673.0,7477.0,False,False,Spanish,
377.0,RANBOOLIVE,11148405.0,1080.0,16088.0,10322.0,4450449.0,493.0,True,False,English,
378.0,QUESADACID,11586015.0,7110.0,16061.0,1629.0,146437.0,5943.0,True,True,Spanish,
379.0,눈쟁이 (EYEJOKER7),2125845.0,5940.0,16048.0,357.0,173411.0,9352.0,True,False,Korean,
380.0,BUDDHA,40572765.0,4395.0,15994.0,9231.0,821522.0,851.0,True,True,English,
381.0,MODY_ALASMR,4903605.0,1230.0,15943.0,3986.0,552790.0,17710.0,True,False,Arabic,
382.0,QUIN69,135385170.0,13305.0,15885.0,10175.0,717590.0,2837.0,True,False,English,
383.0,BETBOOM_RU2,38101575.0,10980.0,15863.0,3470.0,79266.0,9612.0,True,False,Russian,
384.0,ZERKAA,25709175.0,2760.0,15757.0,9314.0,1382540.0,9052.0,True,False,English,
385.0,WARHAMMER,2310570.0,2085.0,15751.0,1108.0,173155.0,2607.0,True,False,English,
386.0,PONCE,74517015.0,11085.0,15744.0,6722.0,802488.0,1431.0,True,False,French,
387.0,AVAGG,2756640.0,4935.0,15721.0,558.0,446882.0,-567.0,True,False,English,
388.0,KYEDAE,52999380.0,5715.0,15710.0,9273.0,2107522.0,48107.0,True,False,English,
389.0,EINTRACHTSPANDAU,4415385.0,480.0,15699.0,9198.0,93792.0,3765.0,True,False,German,
390.0,LESTREAM,19997370.0,6210.0,15682.0,3220.0,1000084.0,86.0,True,False,French,
391.0,IEPINBALL,6395775.0,2445.0,15642.0,2615.0,6192.0,1371.0,True,False,English,
392.0,POLISPOL1,22480410.0,9465.0,15575.0,2375.0,1058315.0,30019.0,True,False,Spanish,
393.0,叶ちゃんねる (KANAE_2434),31958235.0,5265.0,15562.0,6069.0,303337.0,19774.0,False,False,Japanese,
394.0,らいじん (ALFREA),44333340.0,11460.0,15552.0,3868.0,108169.0,7568.0,True,False,Japanese,
395.0,DOUBLELIFT,9530655.0,945.0,15539.0,10085.0,1751316.0,253.0,True,False,English,
396.0,ELWIND,29284575.0,3750.0,15513.0,7809.0,990803.0,11403.0,True,False,Turkish,
397.0,EGORKREED,14929995.0,2010.0,15500.0,7427.0,1153152.0,21758.0,True,False,Russian,
398.0,마젠타_ (MAGENTA62),17285055.0,6045.0,15477.0,2859.0,415778.0,11461.0,True,False,Korean,
399.0,SAPNAPLIVE,6317760.0,585.0,15462.0,10799.0,1232516.0,4319.0,True,False,English,
400.0,WILLNEFF,26273955.0,7995.0,15407.0,3286.0,400552.0,3365.0,True,False,English,
401.0,HONEYMAD,52179510.0,6420.0,15403.0,8127.0,706100.0,-29544.0,True,True,Russian,
402.0,KOI,6029400.0,1845.0,15341.0,3267.0,265910.0,4023.0,True,False,Spanish,
403.0,LACOBRAAA,28081155.0,5850.0,15312.0,4800.0,360369.0,31994.0,True,False,Spanish,
404.0,POKIMANE,32254215.0,3150.0,15215.0,10239.0,9287048.0,10038.0,True,False,English,
405.0,TRAINWRECKSTV,4547850.0,540.0,15177.0,8421.0,2112210.0,-2795.0,True,True,English,
406.0,CROWN,1839885.0,300.0,15174.0,6132.0,189746.0,-875.0,True,False,English,
407.0,VINESAUCE,21901050.0,3600.0,15160.0,6083.0,553440.0,3170.0,True,True,English,
408.0,TWM_LOL,3035265.0,495.0,15151.0,6131.0,15202.0,14514.0,True,False,Chinese,
409.0,SUBROZA,40563330.0,9405.0,15124.0,4312.0,898127.0,9214.0,True,False,English,
410.0,SERGIOFFERRA,6589695.0,6540.0,15123.0,1007.0,62019.0,12261.0,True,False,Spanish,
411.0,침착맨 (ZILIONER),47578080.0,6780.0,15113.0,7017.0,748591.0,9179.0,True,False,Korean,
412.0,LUKISTEVE,39858435.0,5100.0,15093.0,7815.0,273830.0,5290.0,True,False,Polish,
413.0,BISTECONEE,8966610.0,9240.0,15022.0,970.0,153822.0,45936.0,False,False,Portuguese,
414.0,AROYITT,15458715.0,5145.0,15019.0,3004.0,1954953.0,44121.0,True,False,Spanish,
415.0,MCH_AGG,24868740.0,35880.0,15008.0,693.0,594921.0,2509.0,True,False,Portuguese,
416.0,ML7SUPPORT,42294465.0,10650.0,14940.0,3971.0,693473.0,15106.0,True,False,English,
417.0,SHADOWKEKW,21599265.0,2670.0,14905.0,8089.0,350376.0,4685.0,True,False,Russian,
418.0,KOMANCHE,6003060.0,5250.0,14871.0,1143.0,1461556.0,69435.0,True,False,Spanish,
419.0,FOLAGORLIVES,18840210.0,7515.0,14854.0,2507.0,1530973.0,11800.0,True,False,Spanish,
420.0,ERAY,64359240.0,7965.0,14849.0,8080.0,800288.0,33630.0,True,True,Turkish,
421.0,YOMAX,47397540.0,12930.0,14825.0,3665.0,520621.0,21470.0,True,False,French,
422.0,STANISLAW89,28688625.0,3900.0,14820.0,7356.0,124986.0,13093.0,False,True,Russian,
423.0,SHXTOU,23214720.0,4305.0,14809.0,5392.0,972012.0,29050.0,True,False,English,
424.0,TOPSONOUS,8578815.0,975.0,14791.0,8798.0,511661.0,3435.0,True,True,English,
425.0,TEAMHERETICS,4325715.0,630.0,14784.0,6866.0,151825.0,9582.0,True,False,Spanish,
426.0,VICKYPALAMI,42399315.0,6810.0,14774.0,6226.0,496422.0,64349.0,True,False,Spanish,
427.0,CZECHCLOUD,25545720.0,11835.0,14751.0,2158.0,417708.0,5774.0,True,False,Czech,
428.0,SKAIN,17380065.0,3450.0,14721.0,5037.0,175696.0,9460.0,True,False,Spanish,
429.0,NADIA,40479705.0,10620.0,14720.0,3811.0,1007614.0,64597.0,True,False,English,
430.0,ELAJJAZ,99883845.0,12255.0,14628.0,8150.0,446388.0,2010.0,True,False,English,
431.0,1PVCS,18015525.0,14325.0,14578.0,1257.0,135249.0,899.0,True,False,French,Yes
432.0,MASL_SOCCER,4901730.0,3180.0,14558.0,1541.0,10530.0,2345.0,True,False,Spanish,
433.0,QUICKYBABY,55401630.0,10575.0,14530.0,5238.0,539092.0,4605.0,True,False,English,
434.0,POKEMON,7222980.0,2850.0,14492.0,2534.0,583715.0,10351.0,True,False,English,
435.0,XMERGHANI,38646960.0,4815.0,14428.0,8026.0,317534.0,15555.0,True,False,Polish,
436.0,CLOAKZY,33180000.0,7650.0,14425.0,4337.0,2842404.0,5358.0,True,False,English,
437.0,TONIKI,17462115.0,6660.0,14416.0,2621.0,193413.0,11264.0,True,False,Spanish,
438.0,다주 (DDA_JU),39934020.0,10530.0,14411.0,3792.0,362735.0,2561.0,True,False,Korean,
439.0,AKYULIYCH,5926110.0,1725.0,14406.0,3435.0,737580.0,26051.0,True,False,Russian,
440.0,HUTCHMF,74037855.0,20325.0,14382.0,3642.0,286390.0,10751.0,True,True,English,
441.0,ROLLINGSTONE,8170770.0,2145.0,14378.0,3809.0,55845.0,556.0,True,False,English,
442.0,POKERSTARS,36405045.0,7725.0,14376.0,4712.0,324559.0,11413.0,True,True,English,
443.0,GRENHEIR,9095325.0,2040.0,14359.0,4458.0,138667.0,31500.0,True,False,Spanish,
444.0,CSGOMC_UA,27750255.0,11850.0,14352.0,2341.0,65900.0,12804.0,True,False,Ukrainian,
445.0,LENAGOL0VACH,52063695.0,6600.0,14338.0,7888.0,402629.0,14943.0,True,False,Russian,
446.0,CCT_EN,39767790.0,18885.0,14237.0,2105.0,311885.0,13358.0,True,False,English,Yes
447.0,ESL_SC2,17594730.0,42945.0,14229.0,409.0,374610.0,1908.0,True,False,English,Yes
448.0,MRSCHIMCHIM,2746830.0,6825.0,14226.0,402.0,34903.0,1147.0,True,False,English,
449.0,PURPLEBIXI,17078955.0,3405.0,14217.0,5015.0,301009.0,5536.0,True,False,Turkish,
450.0,YAYSTER,6809490.0,780.0,14183.0,8730.0,310477.0,10609.0,True,False,English,
451.0,A_SEAGULL,43678290.0,7425.0,14168.0,5882.0,1175718.0,8359.0,True,True,English,
452.0,FPSTHAILAND,15314970.0,8730.0,14094.0,1754.0,545032.0,1634.0,True,False,Thai,Yes
453.0,MONDO2244,10101870.0,8115.0,14093.0,1244.0,65694.0,21129.0,True,False,Japanese,
454.0,ありさか (CR_ARISAKAAA),43301115.0,6360.0,14053.0,6808.0,263509.0,20309.0,True,False,Japanese,
455.0,RAQUEL,2200035.0,2385.0,14051.0,922.0,70440.0,2084.0,True,False,English,
456.0,RECRENT,89316525.0,15555.0,14034.0,5741.0,912979.0,18183.0,True,False,Russian,
457.0,PUNISHER,3271200.0,11520.0,14023.0,283.0,224358.0,-579.0,True,False,English,
458.0,SIMPLY,23639100.0,9180.0,14012.0,2575.0,284326.0,5393.0,True,False,English,
459.0,NINJA,30371820.0,3540.0,14004.0,8579.0,18460871.0,12824.0,False,False,English,
460.0,MASKENISSEN,4123515.0,675.0,13970.0,6108.0,297789.0,9292.0,False,False,English,
461.0,うめきデイジー (UMEKIDAISY1117),10233420.0,12840.0,13970.0,796.0,19759.0,7316.0,True,False,Japanese,
462.0,JORGINHORP,3707400.0,10755.0,13961.0,344.0,26606.0,20749.0,False,True,Portuguese,
463.0,KNEKRO,76202310.0,12855.0,13940.0,5927.0,951214.0,6709.0,True,False,Spanish,
464.0,DMITRY_LIXXX,61463550.0,8385.0,13913.0,7330.0,1135243.0,-4150.0,True,False,Russian,
465.0,JANKOS,28617555.0,4365.0,13907.0,6556.0,1258863.0,4608.0,True,False,English,
466.0,GLORIOUS_E,57385680.0,12630.0,13867.0,4543.0,241361.0,11199.0,True,True,English,
467.0,BATALHADAALDEIA,6498015.0,5910.0,13822.0,1099.0,432313.0,9048.0,True,False,Portuguese,
468.0,R6ESPORTSBR,16754370.0,2385.0,13802.0,7024.0,572494.0,6641.0,True,False,Portuguese,Yes
